date,hour,depth,value,variable
2018-09-16,0,0,23.37618833,temperature
2018-09-16,0,1,23.43972667,temperature
2018-09-16,0,1.6,23.48383333,temperature
2018-09-16,0,2,23.43538833,temperature
2018-09-16,0,3,23.42816667,temperature
2018-09-16,0,4,20.50263833,temperature
2018-09-16,0,5,16.80890667,temperature
2018-09-16,0,6,14.57262167,temperature
2018-09-16,0,7,13.38014667,temperature
2018-09-16,0,8,12.67984833,temperature
2018-09-16,0,9,12.40333333,temperature
2018-09-17,0,0,22.82941,temperature
2018-09-17,0,1,22.83756833,temperature
2018-09-17,0,1.6,22.87333333,temperature
2018-09-17,0,2,22.74541167,temperature
2018-09-17,0,3,22.28731,temperature
2018-09-17,0,4,21.12765333,temperature
2018-09-17,0,5,18.20266667,temperature
2018-09-17,0,6,15.74797333,temperature
2018-09-17,0,7,13.98349,temperature
2018-09-17,0,8,13.40722667,temperature
2018-09-17,0,9,12.96435667,temperature
2018-09-18,0,0,22.87524833,temperature
